,,,Mean RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,,,Std RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,
,,,Time (h),,,,,,,,Time (h),,,,,,
ENSG00000162426,SLC45A1,,1.9717,1.8461,1.8333,1.6328,2.3788,2.4184,2.1467,,0.70826,0.25829,0.31249,0.6518,0.72146,0.1475,0.61021
ENSG00000142599,RERE,,154.9202,154.5561,150.7872,144.2482,138.825,136.3194,138.3866,,25.3109,7.7907,6.3686,4.3043,7.3641,5.2139,6.1745
ENSG00000074800,ENO1,,1285.0371,1302.3531,1304.0887,1315.928,1382.9904,1316.0985,1300.3487,,22.0427,17.7938,40.9315,43.6988,33.7393,114.7258,84.8092
ENSG00000236269,,,0.35546,0.24604,0.42378,0.43967,0.45763,0.30809,0.26769,,0.16678,0.1769,0.13323,0.41105,0.058647,0.16158,0.086887
ENSG00000230679,ENO1-AS1,,0.87005,0.72396,0.72877,0.5674,0.95459,0.63276,0.79349,,0.1922,0.096422,0.28996,0.11956,0.30822,0.48652,0.14909
ENSG00000142583,SLC2A5,,1.3648,1.1834,1.3736,1.6967,1.259,1.4507,1.0646,,0.67696,0.3583,0.42587,0.20049,0.35589,0.42089,0.33763
ENSG00000180758,GPR157,,9.8828,12.3146,10.4046,13.3195,12.9056,11.8249,12.2346,,2.0843,0.92856,1.3304,1.4501,1.1261,0.57448,3.028
ENSG00000228526,MIR34AHG,,22.5456,22.8137,22.2989,20.5196,19.1416,22.5885,18.5484,,2.2712,0.97419,3.8458,1.4249,1.9635,1.524,1.6074
ENSG00000234546,LINC01759,,4.0279,4.0034,3.8933,3.757,3.5492,4.1932,3.1932,,0.97889,0.48359,0.91836,0.28389,0.43616,1.1961,1.0044
ENSG00000049239,H6PD,,236.345,231.306,231.1307,229.545,237.2421,223.2397,231.1679,,3.5164,9.2706,6.8673,2.7741,9.6852,12.2756,15.1082
ENSG00000171621,SPSB1,,27.6824,31.2289,30.0569,31.51,32.6639,31.9326,32.6915,,2.4364,1.7445,3.364,2.7034,2.6819,1.7524,2.0681
ENSG00000284652,BX323043.1,,1.2561,1.1623,1.4472,1.2482,1.0951,0.73091,0.88516,,0.2074,0.84296,0.41933,0.47374,0.091857,0.30974,0.39837
ENSG00000284693,AL928921.2,,4.5726,5.0449,4.744,4.4281,4.7245,3.9568,4.9955,,0.65124,1.3617,1.0578,0.17926,0.21438,0.98192,0.65357
ENSG00000171612,SLC25A33,,13.3325,14.1326,14.7106,15.8764,13.8686,13.3717,14.3688,,2.1973,0.74692,0.8884,1.2046,0.92845,1.1153,0.96517
ENSG00000231181,AL954705.1,,0.36563,0.39765,0.23808,0.35522,0.25382,0.19796,0.33999,,0.19169,0.20153,0.16451,0.16501,0.17781,0.26264,0.17688
ENSG00000188807,TMEM201,,24.9394,25.6794,24.9648,25.2415,25.3204,26.7591,23.2105,,1.8793,1.4458,1.3548,3.7786,0.90427,0.15578,1.9244
ENSG00000171608,PIK3CD,,18.3144,16.6782,15.2786,18.2523,17.1921,17.146,16.8698,,1.8869,1.1339,1.5561,1.5304,3.8221,1.6104,0.90248
ENSG00000231789,PIK3CD-AS2,,6.8328,5.571,6.082,6.9116,5.8386,6.36,5.8695,,0.80119,0.66858,1.1452,0.41646,0.41392,0.69862,0.98696
ENSG00000171603,CLSTN1,,361.612,360.2337,351.2961,348.7581,360.3887,347.7147,358.2487,,26.4695,16.5281,16.0509,24.2454,23.6708,11.3574,11.4297
ENSG00000178585,CTNNBIP1,,19.2982,19.4386,18.3902,17.7166,18.5878,16.567,16.0327,,2.0869,0.4417,3.0632,2.3978,2.1618,1.1742,1.8878
ENSG00000162441,LZIC,,30.5102,31.0891,30.255,29.8939,32.8962,30.9419,31.4702,,2.4425,2.1343,1.0177,4.2552,1.7002,2.8422,4.5969
ENSG00000228150,AL357140.2,,0.17678,0.27053,0.4269,0.2269,0.30724,0.060586,0.31449,,0.094935,0.24048,0.29076,0.1975,0.076528,0.070269,0.24059
ENSG00000173614,NMNAT1,,15.0716,16.8981,14.8985,14.8048,14.4492,15.1053,14.0459,,1.7947,1.1514,1.5105,2.3806,2.2175,1.2273,1.6318
ENSG00000130939,UBE4B,,152.0124,146.3233,145.3877,141.8864,139.9099,137.8111,138.7945,,7.3605,5.7632,6.6643,7.7051,2.8283,4.8747,8.8499
ENSG00000054523,KIF1B,,122.4126,122.8839,126.1825,129.6477,125.8506,118.5457,127.9722,,4.5449,3.1713,3.5685,7.4344,10.7704,5.996,5.7763
ENSG00000142657,PGD,,156.0468,157.122,153.316,164.1876,160.1325,155.2506,147.5736,,4.599,9.1248,8.3982,3.046,3.6465,8.4456,7.0338
ENSG00000175279,CENPS,,2.986,2.7019,2.6336,2.6384,3.2174,3.2282,3.0844,,0.61325,0.79986,0.55905,0.40553,0.4722,1.1142,0.2578
ENSG00000160049,DFFA,,77.5603,80.0323,82.6951,78.187,83.8963,81.9306,82.4971,,5.8018,5.4269,4.5446,4.3523,5.5264,2.297,3.0382
ENSG00000142655,PEX14,,18.6431,19.9826,21.3713,17.8047,20.0352,20.9671,19.0481,,1.3529,0.67974,1.806,1.7263,1.9184,1.4343,2.181
ENSG00000130940,CASZ1,,2.6665,2.3824,2.5128,2.5772,2.1891,2.5132,2.1073,,0.3879,0.45425,0.20281,0.39523,0.12064,0.57414,0.78458
