Cell_Line,Vemurafenib,Dabrafenib,PLX8394,LY3009120,AZ_628,Cobimetinib,Trametinib,Selumetinib,Binimetinib,PD0325901,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375,0,0,0,0,0,0,0,-1,0,0,100,24,0.0833,0,1,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,21.06666667,1.061230733,1.049258261,1.072314834,1.186661264,1.346858984,1.387168279,1.274589301,1.308737433,1.175210236,1.388176084,0.026375798,0.05276028,0.094300299,0.092222868,0.046629008,0.087226824,0.061455151,0.043159031,0.075951874,0.035557638
A375,0,0,0,0,0,0,0,0,-1,0,0,24,0.0833,0,1,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,0.935718662,0.997885699,0.972393746,0.902842253,0.837502562,0.667853798,0.501222254,0.536690423,0.594888764,0.66300859,0.03267237,0.056969032,0.031153199,0.059417245,0.04337254,0.044665371,0.008261433,0.058483347,0.051504234,0.04050554
A375,0,0,0,0,0,0,0,0,-1,0,100,24,0.0833,0,1,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,1.035789663,1.050717997,1.073855664,1.209071851,1.226600802,1.363227182,1.354774388,1.269101018,1.202488567,1.37959126,0.116225748,0.079675534,0.093246769,0.040726005,0.062671628,0.086499069,0.037032212,0.06600339,0.099272178,0.019716746
A375,0,0,0,0,0,0,0,0,0,-1,0,24,0.0833,0,1,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,1.042593086,0.942052343,0.831598582,0.645084958,0.419794443,0.282786258,0.280676264,0.363167907,0.352950063,0.331912031,0.05777572,0.044649417,0.061393452,0.101468757,0.03233938,0.055520177,0.032748734,0.007847376,0.023696621,0.040616675
A375,0,0,0,0,0,0,0,0,0,-1,100,24,0.0833,0,1,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,1.104258777,1.051436741,0.926390731,1.097594622,1.300029544,1.153930727,1.20819543,1.180015824,1.263980172,1.30634642,0.110796314,0.052334719,0.021949598,0.087445599,0.091871215,0.095589967,0.079039378,0.047007676,0.02125997,0.007444346
A375,1,0,0,0,0,-1,0,0,0,0,0,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.145282316,0.143915633,0.169213338,0.154814532,0.139468062,0.113913147,0.127061538,0.11631525,0.108003488,0.141559237,0.031002712,0.035069888,0.02654564,0.022580242,0.041622511,0.019212409,0.025009571,0.027320139,0.024322868,0.034767593
A375,1,0,0,0,0,-1,0,0,0,0,100,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.1405555,1.181379312,1.178616196,1.210097224,1.150109023,1.180548702,1.144653739,1.139453094,1.115932083,1.257994519,0.040270143,0.067644015,0.020594191,0.04786397,0.017411342,0.030679408,0.004617009,0.00896214,0.029736045,0.005668726
A375,0,0,0,1,0,-1,0,0,0,0,0,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.130719611,0.122919867,0.16043215,0.137517627,0.149269417,0.132225251,0.137641694,0.124366739,0.104931208,0.13172944,0.023586716,0.030741159,0.01027564,0.004962565,0.028740379,0.004448148,0.007012452,0.048272075,0.012800805,0.025060238
A375,0,0,0,1,0,-1,0,0,0,0,100,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.722800675,0.725535181,0.773001116,0.890036943,0.966130575,1.177236824,1.228936543,1.241099441,1.162546709,1.353176889,0.00313175,0.006530276,0.013644811,0.032758989,0.042338133,0.020557078,0.05164494,0.029262104,0.017650799,0.066383569
A375,0,0,0,0,1,-1,0,0,0,0,0,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.148070197,0.117062075,0.112371269,0.136724019,0.141767638,0.141438004,0.121732075,0.118158029,0.111040694,0.141406332,0.018018555,0.010948981,0.022389216,0.001961313,0.022953585,0.029574512,0.010316145,0.022243881,0.030790433,0.037862517
A375,0,0,0,0,1,-1,0,0,0,0,100,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.592165156,0.591534288,0.597461448,0.697549434,0.807403743,0.888614257,0.968854987,0.952324984,0.996292917,1.049789369,0.011026548,0.037211321,0.045574964,0.047231409,0.090511592,0.071982378,0.019611194,0.057823806,0.057676304,0.069635772
A375,0,0.1,0,0,0,0,-1,0,0,0,0,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.125306573,0.110995891,0.096664097,0.125453567,0.084836842,0.11044014,0.104745148,0.102349919,0.109349487,0.122248703,0.050718806,0.036659541,0.025605551,0.018278341,0.035312454,0.045853869,0.030586197,0.007028164,0.018578469,0.024705735
A375,0,0.1,0,0,0,0,-1,0,0,0,100,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.157576026,1.051821778,0.918340517,0.842658061,0.818109888,0.807659567,0.906460179,0.890203721,0.908196965,0.952208772,0.050515299,0.023209485,0.104538651,0.035027116,0.011309225,0.029479537,0.002347926,0.014206338,0.046046426,0.117991291
